index,event_time,percentage_coef_m,percentage_coef_w,child_penalty
0,-5,0.03586322131586568,-0.01364887619728867,0.04951209751315435
1,-4,0.0528489633376611,-0.004835231755778319,0.05768419509343942
2,-3,0.05473204272671249,0.0060267761158072615,0.048705266610905226
3,-2,0.059898753490624686,0.0018847915961388915,0.058013961894485794
15,-1,0.0,0.0,0.0
4,0,0.04553807640218791,-0.23108206463672457,0.27662014103891247
5,1,0.0494409778818784,-0.5323396935984155,0.5817806714802939
6,2,0.049451280089569775,-0.4097473094244429,0.45919858951401266
7,3,0.05393947830297783,-0.37169038764759116,0.425629865950569
8,4,0.04224583745790487,-0.35958051209615577,0.40182634955406066
9,5,0.041108738041787725,-0.34107498135019476,0.3821837193919825
10,6,0.041962014748636214,-0.320303192053117,0.3622652068017532
11,7,0.038312527102130255,-0.3156190072112183,0.35393153431334856
12,8,0.046762911036061984,-0.2972789876198052,0.3440418986558672
13,9,0.05360233570094469,-0.28456638199565354,0.33816871769659823
14,10,0.04718043350188795,-0.27321009818850706,0.320390531690395
