index,event_time,percentage_coef_m,percentage_coef_w,child_penalty
0,-5,0.017847580756760555,0.02120199364597512,-0.003354412889214564
1,-4,0.0628627048245027,0.060754343377446396,0.002108361447056298
2,-3,0.07898908517910862,0.09265111236349045,-0.013662027184381836
3,-2,0.07519648337308407,0.09751578365791505,-0.02231930028483098
15,-1,0.0,0.0,0.0
4,0,0.028411117719865677,-0.5412255638314303,0.569636681551296
5,1,0.005364645319392852,-0.7425029023576348,0.7478675476770277
6,2,0.0032400878782963475,-0.6001888640187324,0.6034289518970287
7,3,-0.010938953647519128,-0.5889276520619502,0.577988698414431
8,4,-0.03310442293617834,-0.5728326638096315,0.5397282408734532
9,5,-0.010831889651915092,-0.5475748425338609,0.5367429528819458
10,6,-0.04320914637814175,-0.5219107098775636,0.47870156349942183
11,7,-0.05633856874540893,-0.5381385245849117,0.4817999558395028
12,8,-0.08140917728028173,-0.5296621145202959,0.44825293724001414
13,9,-0.08361765112944317,-0.524690179273696,0.4410725281442528
14,10,-0.11310319117349475,-0.5029374047467289,0.3898342135732341
