index,event_time,percentage_coef_m,percentage_coef_w,child_penalty
0,-5,0.034263816756554266,0.00906275273058502,0.025201064025969246
1,-4,0.070506556259108,0.04079019850410453,0.02971635775500347
2,-3,0.0823632468887902,0.06452909085170419,0.017834156037086005
3,-2,0.09234597473205898,0.05388323497137963,0.03846273976067935
15,-1,0.0,0.0,0.0
4,0,0.053885699653574,-0.6036924193526827,0.6575781190062567
5,1,0.06282467095837492,-0.7736485505019643,0.8364732214603393
6,2,0.06696122798271935,-0.6357542212164374,0.7027154491991567
7,3,0.07428320278293961,-0.6202647476470383,0.694547950429978
8,4,0.06028837607835755,-0.589846958709929,0.6501353347882866
9,5,0.06392313300871148,-0.5585240069436425,0.6224471399523539
10,6,0.0669861714143879,-0.541818404190268,0.608804575604656
11,7,0.05825960696607787,-0.5366705972065643,0.5949302041726422
12,8,0.0597798002972574,-0.5225896971001874,0.5823694973974448
13,9,0.07887768171869924,-0.5054754971274615,0.5843531788461608
14,10,0.07180016183497791,-0.4949323348548486,0.5667324966898265
