index,event_time,percentage_coef_m,percentage_coef_w,child_penalty
0,-5,-0.0007896319042658522,0.05933532201569921,-0.060124953919965064
1,-4,0.05772982643289512,0.0832843291538059,-0.025554502720910782
2,-3,0.0502565656090029,0.10428222763204542,-0.05402566202304252
3,-2,0.039210883734120835,0.06717252387722705,-0.027961640143106217
15,-1,0.0,0.0,0.0
4,0,-0.06184383123319168,-0.6011992098459904,0.5393553786127987
5,1,-0.049237901494299685,-0.6674682454498174,0.6182303439555177
6,2,-0.03834628121978915,-0.4011262503008664,0.36277996908107724
7,3,-0.06127510603960333,-0.3724859723866919,0.31121086634708856
8,4,-0.04301838430355934,-0.36726697006305287,0.32424858575949356
9,5,-0.03134383256742875,-0.3443542828479085,0.31301045028047975
10,6,-0.039843656238543156,-0.312052092488841,0.2722084362502979
11,7,-0.11292840590172577,-0.32181874811878025,0.2088903422170545
12,8,-0.1047882636513458,-0.3072152624788519,0.2024269988275061
13,9,-0.07021524150822384,-0.3000004257566634,0.22978518424843958
14,10,-0.11539062635178149,-0.233029501401142,0.11763887504936052
