index,event_time,percentage_coef_m,percentage_coef_w,child_penalty
0,-5,-0.019820803753817524,0.01827132862628914,-0.03809213238010666
1,-4,-0.0007068018863161712,3.696785602200931e-05,-0.0007437697423381805
2,-3,-0.010467575924575373,0.00933688582918232,-0.01980446175375769
3,-2,-0.016305143088082612,0.0007162831037937584,-0.01702142619187637
15,-1,0.0,0.0,0.0
4,0,-0.028401919194648486,-0.021879507693327162,-0.0065224115013213235
5,1,-0.00630213688349957,-0.0571251263889409,0.05082298950544133
6,2,-0.030244467023351426,-0.00476562096605689,-0.025478846057294537
7,3,-0.028753292361720806,-0.008405455951076678,-0.020347836410644127
8,4,-0.04206606935110119,-0.011941016714796509,-0.03012505263630468
9,5,-0.00740958736173414,-0.01013791814931508,0.0027283307875809407
10,6,-0.010380014074595356,-0.019915813339489472,0.009535799264894116
11,7,-0.00665515242184301,-0.0031352918541699844,-0.003519860567673026
12,8,-0.02830854805867276,-0.0030331519293163266,-0.025275396129356434
13,9,-0.016617362832127756,-0.007485435268705982,-0.009131927563421773
14,10,-0.004281600535299639,-0.004450677916769285,0.00016907738146964592
