index,event_time,percentage_coef_m,percentage_coef_w,child_penalty
0,-5,0.033308861349671405,0.0818423076153415,-0.0485334462656701
1,-4,0.08643261826383293,0.10369839653005075,-0.01726577826621782
2,-3,0.07421087213153536,0.15689244599678515,-0.08268157386524978
3,-2,0.05530152305566035,0.1788728720999983,-0.12357134904433795
15,-1,0.0,0.0,0.0
4,0,0.02776036149454163,-0.476124141961928,0.5038845034564696
5,1,0.016361632626482953,-0.6683477477018052,0.6847093803282881
6,2,0.011323554446777207,-0.5020467720800168,0.513370326526794
7,3,-0.006492310207980042,-0.4968952055273857,0.4904028953194057
8,4,-0.0178716504011726,-0.46721069897290934,0.44933904857173673
9,5,0.02425487233826396,-0.44643759302033514,0.4706924653585991
10,6,0.005284657842259058,-0.42722701528127394,0.432511673123533
11,7,-0.022870684591223,-0.4464898139013659,0.4236191293101429
12,8,-0.03972004702631509,-0.4431157928353584,0.4033957458090433
13,9,-0.043068245545588454,-0.43698618347126517,0.3939179379256767
14,10,-0.06632233503392525,-0.39459416853719176,0.3282718335032665
