index,event_time,percentage_coef_m,percentage_coef_w,child_penalty
0,-5,0.036846336884610996,-0.007257956340278838,0.04410429322488983
1,-4,0.03486805812015373,-0.010712727593582364,0.04558078571373609
2,-3,0.04962136849222999,-0.0073672967317743665,0.05698866522400436
3,-2,0.05093578538310616,-0.02561286665721978,0.07654865204032595
15,-1,0.0,0.0,0.0
4,0,0.019774670455878923,-0.288022956855488,0.30779762731136695
5,1,0.029766415904659345,-0.6088541567477478,0.6386205726524071
6,2,0.027426467051289323,-0.5052443555974807,0.5326708226487701
7,3,0.03292739748337712,-0.44135072912965995,0.4742781266130371
8,4,0.024868046063672784,-0.44605135741637064,0.4709194034800434
9,5,0.020074155344999144,-0.4219289793938139,0.44200313473881303
10,6,0.026244625932797708,-0.4034679582879657,0.4297125842207634
11,7,0.023662536446972648,-0.3867541899928357,0.4104167264398083
12,8,0.018271804446674055,-0.36854626774190463,0.38681807218857867
13,9,0.02612805132831807,-0.34758533886300264,0.3737133901913207
14,10,-0.00032757115675986905,-0.32931121760692766,0.3289836464501678
