index,event_time,percentage_coef_m,percentage_coef_w,child_penalty
0,-5,-0.03054407235102914,-0.03665267972724128,0.006108607376212143
1,-4,-0.013809331321280293,-0.02395321083472567,0.010143879513445376
2,-3,0.026403012719706645,-0.03226521164445479,0.058668224364161435
3,-2,0.03575632200711797,-0.04649073846285078,0.08224706046996876
15,-1,0.0,0.0,0.0
4,0,-0.0003210998255019704,-0.6448143357851738,0.6444932359596718
5,1,-0.013280167951993818,-0.8388421022495293,0.8255619342975354
6,2,-0.008431151360562961,-0.7354655849061794,0.7270344335456165
7,3,0.005318141360261903,-0.7052933283560362,0.7106114697162981
8,4,-0.0019981706324820707,-0.6996160227999784,0.6976178521674963
9,5,0.006537673552400181,-0.6677807327108378,0.674318406263238
10,6,-0.011187601439070827,-0.6341299172759856,0.6229423158369147
11,7,0.019897841306221162,-0.634611081922372,0.6545089232285932
12,8,0.017538738305968513,-0.6042137332051195,0.621752471511088
13,9,0.03969035948549889,-0.5987926172546993,0.6384829767401983
14,10,0.022401044932005933,-0.5899455887621987,0.6123466336942046
