index,event_time,percentage_coef_m,percentage_coef_w,child_penalty
0,-5,0.01311726484928909,0.05450379347488774,-0.04138652862559865
1,-4,0.056357598957614316,0.023192541769426322,0.03316505718818799
2,-3,0.06480213683100976,0.027232833337532583,0.037569303493477174
3,-2,0.06752649918297954,0.023400429409486632,0.044126069773492906
15,-1,0.0,0.0,0.0
4,0,0.016570519322967634,-0.4385617221192469,0.45513224144221454
5,1,-0.0049720713153558,-0.34209399816485275,0.33712192684949693
6,2,-0.018552612659184786,-0.4000466908778248,0.38149407821864
7,3,-0.025723022689152417,-0.4259402237429092,0.40021720105375674
8,4,-0.03577465190471627,-0.41713254830239155,0.38135789639767526
9,5,-0.08892943040202436,-0.4805623001544705,0.39163286975244616
10,6,-0.022524984453364615,-0.45988212478436274,0.43735714033099815
11,7,-0.09139829486884712,-0.4961661429898787,0.4047678481210316
12,8,-0.07716051540914198,-0.5335485224879711,0.45638800707882915
13,9,-0.12177297076273608,-0.5206840779201661,0.39891110715743006
14,10,-0.18008081464141892,-0.5183422492373714,0.3382614345959525
