index,event_time,percentage_coef_m,percentage_coef_w,child_penalty
0,-5,0.03449585094394515,0.00020607923186966089,0.03428977171207549
1,-4,0.03525304527036879,0.0349726391716493,0.00028040609871948785
2,-3,0.046459775054014496,0.01589327872203975,0.030566496331974745
3,-2,0.01871217142624971,0.003149190991392103,0.015562980434857605
15,-1,0.0,0.0,0.0
4,0,0.012883317215815683,-0.4353462369229336,0.4482295541387493
5,1,0.04116104595356178,-0.4259922337578262,0.467153279711388
6,2,0.007933635473613867,-0.35104412300448923,0.3589777584781031
7,3,0.024778342809706113,-0.3742795534556539,0.39905789626536
8,4,0.00833113092544597,-0.37050507682760403,0.37883620775305
9,5,0.006304924215573837,-0.3708948573526283,0.3771997815682021
10,6,0.024611750016425554,-0.3202919581003438,0.34490370811676935
11,7,-0.0006010882716066803,-0.3656963565119286,0.36509526824032196
12,8,-0.004462815140721093,-0.29430413911095354,0.28984132397023243
13,9,0.02056688837141887,-0.3153756716579903,0.33594256002940914
14,10,-0.028208679462396212,-0.30207263382689037,0.2738639543644942
