index,event_time,percentage_coef_m,percentage_coef_w,child_penalty
0,-5,0.02884720339586948,0.007515408000352937,0.021331795395516544
1,-4,0.10500853456614419,0.06111133022418063,0.04389720434196356
2,-3,0.1141551984124242,0.10764268425133001,0.006512514161094191
3,-2,0.13456591187694797,0.11752065932105729,0.017045252555890678
15,-1,0.0,0.0,0.0
4,0,0.0692468125374123,-0.5289832381614442,0.5982300506988565
5,1,0.03968830074931151,-0.7468031800520766,0.7864914808013881
6,2,0.014799035544357034,-0.5841950009432045,0.5989940364875616
7,3,-0.0020086299168560087,-0.5870005016235752,0.5849918717067192
8,4,-0.027678871145960626,-0.5740148613715395,0.5463359902255789
9,5,-0.039313673205073965,-0.5488862457764276,0.5095725725713537
10,6,-0.08263687209361839,-0.5071282532670234,0.424491381173405
11,7,-0.09831106066672934,-0.5233110987441241,0.4250000380773947
12,8,-0.13256056470830505,-0.511648763181398,0.37908819847309294
13,9,-0.1461474106247054,-0.511342385814836,0.36519497519013067
14,10,-0.1750058440364883,-0.4880532342852508,0.3130473902487625
