index,event_time,percentage_coef_m,percentage_coef_w,child_penalty
0,-5,0.024671168614861804,-0.007259731149157234,0.03193089976401904
1,-4,0.040926896979418245,0.0029390380635603234,0.037987858915857924
2,-3,0.03909005761453975,0.010644599074536824,0.028445458540002924
3,-2,0.041212214063254315,0.013968577484847219,0.027243636578407095
15,-1,0.0,0.0,0.0
4,0,0.02987235362105733,-0.2001434585806926,0.23001581220174994
5,1,0.0347233503999706,-0.5130811918878356,0.5478045422878062
6,2,0.033144492725767,-0.39052279841406257,0.4236672911398296
7,3,0.03996372480406046,-0.3488140883169078,0.38877781312096826
8,4,0.02538427480512002,-0.33731659748691406,0.36270087229203407
9,5,0.02369567629901618,-0.31397754568194136,0.33767322198095756
10,6,0.021203848152128325,-0.28930798712363914,0.3105118352757675
11,7,0.014343229639200723,-0.29227404245089705,0.30661727209009776
12,8,0.018183721709197853,-0.274983108301554,0.29316683001075183
13,9,0.017324690888136655,-0.2635203070617924,0.28084499794992906
14,10,0.0057486602791335766,-0.2536809437336288,0.2594296040127624
