index,event_time,percentage_coef_m,percentage_coef_w,child_penalty
0,-5,0.018999331896678837,0.007223740126320821,0.011775591770358015
1,-4,0.04853303527222484,0.038005172707625635,0.010527862564599207
2,-3,0.06823430197020004,0.06987034562153474,-0.0016360436513346982
3,-2,0.07513142644117511,0.06631484037242026,0.00881658606875485
15,-1,0.0,0.0,0.0
4,0,0.03914568692342131,-0.5958345704834491,0.6349802574068705
5,1,0.05087354965852251,-0.7720759704449532,0.8229495201034758
6,2,0.05649119548754419,-0.627577591180854,0.6840687866683982
7,3,0.06809901623200755,-0.6111838540714613,0.6792828703034688
8,4,0.05303745971481598,-0.5767702858019053,0.6298077455167213
9,5,0.056728359146504696,-0.5444366797867097,0.6011650389332144
10,6,0.06395160260422361,-0.5250641728324232,0.5890157754366468
11,7,0.04614687236905551,-0.5203473130634355,0.566494185432491
12,8,0.04800867387538204,-0.5071024303362066,0.5551111042115886
13,9,0.05985014068674066,-0.49650205155751065,0.5563521922442514
14,10,0.04853059000001944,-0.48520054305025334,0.5337311330502728
