index,event_time,percentage_coef_m,percentage_coef_w,child_penalty
0,-5,0.01956138653529114,0.01421518463355012,0.0053462019017410205
1,-4,0.05927817112712391,0.0312961563534863,0.027982014773637612
2,-3,0.08283690560026222,0.060071365036483394,0.022765540563778823
3,-2,0.06786977451736953,0.051401179305445494,0.016468595211924036
15,-1,0.0,0.0,0.0
4,0,-0.07007448427399314,-0.5650337713101437,0.4949592870361505
5,1,-0.18065435307016228,-0.7367481059168478,0.5560937528466855
6,2,-0.18927825101014506,-0.5229762544052866,0.33369800339514155
7,3,-0.22005422540026182,-0.49926194522531897,0.27920771982505715
8,4,-0.2666780901336072,-0.4614407550525931,0.19476266491898586
9,5,-0.23434780279260273,-0.4329334391806992,0.19858563638809648
10,6,-0.2404509025498093,-0.3950643188283459,0.15461341627853661
11,7,-0.2584560542341783,-0.4199569138230034,0.1615008595888251
12,8,-0.27179660957094653,-0.4296880083736025,0.15789139880265596
13,9,-0.2674937090451609,-0.38773000987154277,0.12023630082638187
14,10,-0.28711384463562956,-0.31258130172845416,0.025467457092824608
