index,event_time,percentage_coef_m,percentage_coef_w,child_penalty
0,-5,0.03092047358015322,0.0027828037130076867,0.028137669867145533
1,-4,0.07184612097052233,0.04021432024028864,0.03163180073023369
2,-3,0.08143112026433659,0.065788855052709,0.015642265211627593
3,-2,0.09583772637696808,0.06607267503471125,0.029765051342256835
15,-1,0.0,0.0,0.0
4,0,-0.01626369345129392,-0.5825243929272497,0.5662606994759557
5,1,-0.03808827495311569,-0.739740419311191,0.7016521443580753
6,2,-0.030513765739215146,-0.5045842783766522,0.47407051263743705
7,3,-0.024191380859771384,-0.47563552099296386,0.45144414013319245
8,4,-0.039110928256998585,-0.3916690282860467,0.35255810002904814
9,5,-0.04820255783397578,-0.33951801443912893,0.2913154566051532
10,6,-0.031918789257345224,-0.3348879294364141,0.3029691401790689
11,7,-0.07194857021662204,-0.35025362524862247,0.2783050550320004
12,8,-0.08772563046612304,-0.34617808351334284,0.2584524530472198
13,9,-0.07458385078528977,-0.321076078614072,0.24649222782878222
14,10,-0.0687349526880748,-0.3046965713965184,0.23596161870844362
