index,event_time,percentage_coef_m,percentage_coef_w,child_penalty
0,-5,-0.0077063908709537445,0.018929581837951254,-0.026635972708904998
1,-4,0.00908476502823746,-7.059922240984051e-05,0.0091553642506473
2,-3,-0.0004271740250558867,0.01184786119546088,-0.012275035220516766
3,-2,-0.006269496002824122,0.011551444114865523,-0.017820940117689643
15,-1,0.0,0.0,0.0
4,0,-0.027370024002625178,-0.15688451139214346,0.1295144873895183
5,1,-0.03105144619613678,-0.43404039495924435,0.4029889487631076
6,2,-0.032905594970946556,-0.2793747966005515,0.24646920162960492
7,3,-0.02733626774579381,-0.2049647864843062,0.17762851873851238
8,4,-0.04150674644375585,-0.15875754076968798,0.11725079432593213
9,5,-0.04950560775224425,-0.1251839047928688,0.07567829704062456
10,6,-0.041771275789370156,-0.12650780402483658,0.08473652823546643
11,7,-0.03463856968881259,-0.084670413930007,0.05003184424119441
12,8,-0.015275783801728346,-0.13335105261181202,0.11807526881008366
13,9,-0.02736813598472176,-0.08913230151625935,0.06176416553153759
14,10,0.007924347461871923,-0.07714186365420309,0.08506621111607501
