index,event_time,percentage_coef_m,percentage_coef_w,child_penalty
0,-5,0.013515883988124953,0.0034897887519208318,0.010026095236204121
1,-4,0.038719891095294445,0.015042042756309649,0.023677848338984796
2,-3,0.012722174888414293,0.02057540252434988,-0.007853227635935586
3,-2,0.016951407923696864,-0.017356682549271907,0.034308090472968775
15,-1,0.0,0.0,0.0
4,0,-0.030093715755776032,-0.6001417582023706,0.5700480424465946
5,1,-0.044087948927485764,-0.7387635279643693,0.6946755790368835
6,2,-0.030739470765945742,-0.5857640789731123,0.5550246082071666
7,3,-0.019934300119030406,-0.55028835897942,0.5303540588603896
8,4,-0.030635079342980077,-0.49449176492441616,0.46385668558143606
9,5,-0.0230269385577377,-0.4490216455678334,0.42599470701009573
10,6,-0.01788546283898098,-0.4477959381497567,0.42991047531077575
11,7,-0.024941998300435576,-0.43172634076359884,0.40678434246316325
12,8,0.007820470719180158,-0.44177016947385905,0.44959064019303924
13,9,0.006290359868612083,-0.4010401995941644,0.4073305594627765
14,10,0.07826130255911637,-0.38340671619354577,0.46166801875266217
