index,event_time,percentage_coef_m,percentage_coef_w,child_penalty
0,-5,0.03257868765841572,0.01966933627419193,0.012909351384223791
1,-4,0.009624946190811149,0.01344746301576467,-0.003822516824953522
2,-3,0.043240953077363836,0.0234938039371224,0.019747149140241435
3,-2,0.05090701689244797,0.009079730977416631,0.041827285915031334
15,-1,0.0,0.0,0.0
4,0,0.04718040300247975,-0.20959268033068437,0.2567730833331641
5,1,0.04795837388757965,-0.5409435455275545,0.5889019194151341
6,2,0.04542037078948089,-0.42453687136997986,0.4699572421594608
7,3,0.05266486572400839,-0.3897066511958931,0.4423715169199015
8,4,0.0435758805125068,-0.38258432396592545,0.4261602044784323
9,5,0.04208675177783564,-0.3618733483467135,0.40396010012454914
10,6,0.03748923888427734,-0.3411890991047533,0.37867833798903067
11,7,0.029336177668615532,-0.3302195153860235,0.359555693054639
12,8,0.03238171718195933,-0.31149720149253723,0.34387891867449655
13,9,0.03504524246825103,-0.29885548855659283,0.33390073102484386
14,10,0.02105355169421152,-0.2861370468292537,0.30719059852346525
