index,event_time,percentage_coef_m,percentage_coef_w,child_penalty
0,-5,0.02317094609747977,0.001380675979392067,0.0217902701180877
1,-4,0.0857391480443411,0.054437043525945486,0.031302104518395615
2,-3,0.11122650764488282,0.071847920214183,0.039378587430699816
3,-2,0.11906611996140343,0.09749903772040758,0.02156708224099585
15,-1,0.0,0.0,0.0
4,0,0.11720737552446936,-0.5748814432090064,0.6920888187334757
5,1,0.11823715894363325,-0.7669830473677686,0.8852202063114019
6,2,0.1250613983582345,-0.6305969808175488,0.7556583791757833
7,3,0.14497554065766477,-0.6146788230887317,0.7596543637463964
8,4,0.12293905135647824,-0.5835308102626832,0.7064698616191614
9,5,0.13862654776068226,-0.5651845220622269,0.7038110698229092
10,6,0.15012692898936872,-0.543923181976697,0.6940501109660657
11,7,0.14605800227255056,-0.5317704572643323,0.6778284595368829
12,8,0.17174584519288022,-0.5253421263604383,0.6970879715533185
13,9,0.17651245405787647,-0.5279496142273082,0.7044620682851848
14,10,0.18586695723466634,-0.498255077936254,0.6841220351709203
