index,event_time,percentage_coef_m,percentage_coef_w,child_penalty
0,-5,0.024887107334295864,0.012058118692718807,0.012828988641577057
1,-4,0.06572915081945463,0.054395898403799374,0.011333252415655255
2,-3,0.08950031878195101,0.08820214325139045,0.0012981755305605663
3,-2,0.08817790542797262,0.10091526026582133,-0.012737354837848713
15,-1,0.0,0.0,0.0
4,0,0.05498663119186026,-0.5282302639237211,0.5832168951155814
5,1,0.024280979141047983,-0.7601032723625661,0.7843842515036141
6,2,0.021242846137100885,-0.6486068129995703,0.6698496591366713
7,3,0.0091267488948995,-0.6414820219890716,0.6506087708839711
8,4,-0.01794280418474676,-0.6233578423307455,0.6054150381459987
9,5,0.01035649146434776,-0.5986619910919411,0.6090184825562889
10,6,-0.028722140256745143,-0.5745241543576268,0.5458020141008817
11,7,-0.027998939166432906,-0.5932318609446628,0.5652329217782299
12,8,-0.06264139616420994,-0.5850239617797346,0.5223825656155247
13,9,-0.06618461519248005,-0.5814661530724874,0.5152815378800073
14,10,-0.09594885799771176,-0.5718284506233104,0.4758795926255987
