index,event_time,percentage_coef_m,percentage_coef_w,child_penalty
0,-5,0.1337966675996318,-0.08655574048070633,0.22035240808033812
1,-4,0.03697437144637465,-0.029875327019773388,0.06684969846614804
2,-3,0.14309063466941468,-0.06310354055627392,0.20619417522568861
3,-2,0.02915798359597165,-0.0076422804026420686,0.03680026399861372
15,-1,0.0,0.0,0.0
4,0,0.028228858239356728,-0.638702470280729,0.6669313285200857
5,1,0.010301048455259991,-0.8247990865618771,0.8351001350171371
6,2,-0.013258927272012496,-0.706492679811374,0.6932337525393615
7,3,-0.052682704060222345,-0.6299726164449687,0.5772899123847464
8,4,-0.04038181988016422,-0.5966545283412056,0.5562727084610414
9,5,-0.035268884122993324,-0.563729185201024,0.5284603010780307
10,6,-0.011154610539306196,-0.5387573519273327,0.5276027413880264
11,7,-0.008319973706483404,-0.5199687762909847,0.5116488025845013
12,8,-0.051016953612960374,-0.4955012635872075,0.4444843099742471
13,9,-0.03328246480694303,-0.4839019044383165,0.45061943963137346
14,10,-0.1015155049141939,-0.4968866722582246,0.39537116734403066
