index,event_time,percentage_coef_m,percentage_coef_w,child_penalty
0,-5,0.1843089666093647,-0.10098553254246506,0.28529449915182975
1,-4,0.1318383703309947,-0.039448775810331994,0.17128714614132667
2,-3,0.1823515550811786,-0.013517387862199127,0.19586894294337773
3,-2,0.10119232289209965,-0.0043819972534742185,0.10557432014557386
15,-1,0.0,0.0,0.0
4,0,0.05957687942245079,-0.6636415287701082,0.723218408192559
5,1,0.05883410905519681,-0.8243193551477085,0.8831534642029053
6,2,0.04206970021695993,-0.7055369354803301,0.74760663569729
7,3,0.07728022284703238,-0.6695581539867282,0.7468383768337606
8,4,0.05222378158983987,-0.6307831477196396,0.6830069293094795
9,5,0.014438676574246367,-0.6059520905151085,0.6203907670893548
10,6,0.0579588189878474,-0.6075586529011006,0.6655174718889479
11,7,0.004403028094921683,-0.6058091785232873,0.610212206618209
12,8,-0.03794856365681977,-0.5977774292309787,0.5598288655741589
13,9,-0.01639632223553707,-0.5770857022763277,0.5606893800407906
14,10,-0.08168860480836733,-0.5797456591875146,0.4980570543791473
